Right Hand
==============
     JOINT_INDEX_JT1)	X: 0.125118, Y: 0.056341, Z: 0.338271 
     JOINT_INDEX_JT2)	X: 0.121041, Y: 0.035097, Z: 0.334264 
     JOINT_INDEX_TIP)	X: 0.117334, Y: 0.015785, Z: 0.330620 
     JOINT_MIDDLE_BASE)	X: 0.145617, Y: 0.062135, Z: 0.291276 
     JOINT_MIDDLE_JT1)	X: 0.151469, Y: 0.055623, Z: 0.338471 
     JOINT_MIDDLE_JT2)	X: 0.148552, Y: 0.028303, Z: 0.333076 
     JOINT_MIDDLE_TIP)	X: 0.146469, Y: 0.008788, Z: 0.329223 
     JOINT_RING_BASE)	X: 0.166224, Y: 0.057599, Z: 0.288859 
     JOINT_RING_JT1)	X: 0.169567, Y: 0.052085, Z: 0.331373 
     JOINT_RING_JT2)	X: 0.163727, Y: 0.031218, Z: 0.327574 
     JOINT_RING_TIP)	X: 0.158417, Y: 0.012247, Z: 0.324120 
     JOINT_PINKY_BASE)	X: 0.190342, Y: 0.044501, Z: 0.287019 
     JOINT_PINKY_JT1)	X: 0.183528, Y: 0.040604, Z: 0.323176 
     JOINT_PINKY_JT2)	X: 0.178659, Y: 0.024775, Z: 0.319340 
     JOINT_PINKY_TIP)	X: 0.174363, Y: 0.010808, Z: 0.315954 
Right Hand
==============
     JOINT_WRIST)	X: 0.150047, Y: -0.026606, Z: 0.289299 
     JOINT_CENTER)	X: 0.149070, Y: 0.015040, Z: 0.283949 
     JOINT_THUMB_BASE)	X: 0.130553, Y: -0.018221, Z: 0.287465 
     JOINT_THUMB_JT1)	X: 0.104766, Y: 0.005926, Z: 0.273466 
     JOINT_THUMB_JT2)	X: 0.088932, Y: 0.026139, Z: 0.293390 
     JOINT_THUMB_TIP)	X: 0.080574, Y: 0.045288, Z: 0.299610 
     JOINT_INDEX_BASE)	X: 0.123016, Y: 0.054239, Z: 0.277929 
     JOINT_INDEX_JT1)	X: 0.119650, Y: 0.048436, Z: 0.321414 
     JOINT_INDEX_JT2)	X: 0.116796, Y: 0.027117, Z: 0.316795 
     JOINT_INDEX_TIP)	X: 0.114202, Y: 0.007735, Z: 0.312596 
     JOINT_MIDDLE_BASE)	X: 0.148140, Y: 0.054703, Z: 0.278854 
     JOINT_MIDDLE_JT1)	X: 0.145544, Y: 0.048262, Z: 0.326349 
     JOINT_MIDDLE_JT2)	X: 0.144207, Y: 0.020893, Z: 0.320591 
     JOINT_MIDDLE_TIP)	X: 0.143251, Y: 0.001344, Z: 0.316477 
     JOINT_RING_BASE)	X: 0.168934, Y: 0.050597, Z: 0.280193 
     JOINT_RING_JT1)	X: 0.164692, Y: 0.045107, Z: 0.322630 
